OBJECTID,SSAMPLENO,LONGITUDE,LATITUDE,SIO2,AL2O3,FE2O3,TIO2,CAO,MGO,MNO,NA2O,K2O,P2O5,BA,GA,SC,V,TH,PB,NI,CO,RB,SR,Y,ZR,NB,CR,CU,ZN,LA,CE,PR,ND,SM,EU,TB,GD,DY,HO,ER,TM,YB,LU,HF,TA,U,TREE
2179,57B12/2A/C/12,76.5284,14.1044,44.96,13.26,10.88,0.88,8.67,5.69,0.23,0.59,0.14,0.06,278.9,10.2,30,211.1,2,9.2,101.1,37.9,11.3,125.1,22.5,61.6,2.5,140.1,134.3,49.8,8.05,20.51,2.27,10.39,2.89,0.85,0.61,3.73,4.23,0.84,2.58,0.38,2.28,0.35,2.33,0.38,1.08,56.23
1898,57A/8/C2/C/13,76.465,15.125,49.11,16.08,13.09,0.29,3.75,2.31,1.41,0.19,0.99,0.06,155.4,11.2,26.9,238.5,2,10.1,144.4,66.5,33.1,65.2,16.9,62.5,2.5,193.9,244.5,59,7.31,15.85,2.41,11.37,3.11,1.03,0.71,3.91,4.43,0.88,2.58,0.42,2.34,0.36,3.76,0.3,3.45,52.8
1895,57A/8/B2/C/13,76.375,15.125,54.66,17.62,7.72,0.14,1.86,3.75,1.91,1.68,0.7,0.05,515.2,17.4,12.4,81.2,14.4,27.5,24.1,17.7,76,165.5,37.9,286.5,12.8,43.4,30.5,97.8,67.44,88.92,13.27,47.26,8.31,1.5,1.15,7.52,6.55,1.17,3.37,0.56,3.76,0.55,8.91,1.88,4.42,243.81
1897,57A/8/C1/C/13,76.465,15.208333,50.39,18.99,9.97,0.14,3.17,2.69,0.12,1.76,0.67,0.05,25,10.7,29.7,187.4,2,6.7,106.3,37.7,66.8,65.8,5.5,80.4,2.5,350.2,93.5,44.6,7.58,13.25,1.88,7.48,1.48,0.47,0.27,1.79,1.93,0.36,1.12,0.2,1.28,0.21,2.5,0.32,3.77,37.51
1894,57A/8/B1/C/13,76.375,15.208333,44.57,14.63,12.08,0.17,4.64,7.38,0.86,0.11,0.81,0.07,151,11.6,31.8,156.2,2,8.6,96.9,40.7,29.7,89.6,33.7,43.8,2.5,155.5,170.1,49.1,4.89,8.3,1.58,7.87,2.44,0.88,0.51,3.13,3.61,0.69,2.18,0.33,2.3,0.35,2.35,0.2,4.75,35.93
2164,57B5/C/C1/2013,76.4534,14.9573,60.26,20.09,4.32,0.46,0.85,1.02,0.03,3.22,2,0.04,464.6,22.1,5.2,32.2,23.7,7.4,11.6,9.5,61.1,151,21.1,245.9,14.6,43,3.4,17.8,54.18,199.7,11.59,38.14,6.76,1.31,0.85,4.95,4.63,0.95,2.66,0.47,3.25,0.5,7.28,0.78,4.37,324.99
2159,57B5/C/A2/2013,76.2549,14.8499,55.49,21.95,5.6,0.55,1.36,0.86,0.06,1.21,1.73,0.05,346.2,21.2,8.4,71.9,16.4,23.9,45.6,13.5,92.6,157.5,26.9,221.8,11,50.3,31.7,33.3,51.49,116.5,11.26,39.57,6.98,1.53,0.87,5.19,4.89,0.86,2.41,0.39,2.38,0.42,7.22,1.84,2.75,239.55
2160,57B5/C/A3/2012,76.2692,14.8192,56.73,19.25,5.03,0.45,1.91,0.94,0.05,1.33,2.72,0.04,465.6,21.3,10.9,58.6,12.8,28.9,35.1,9.2,161.1,104.5,26.5,208.6,15,55.7,23.6,40.5,28.9,61.82,6.1,23.05,4.9,1.07,0.84,4.65,5.33,1.14,3.55,0.62,4.16,0.68,11.12,2.47,5.12,142.16
2158,57B5/C/A1/2013,76.2973,14.9258,63.58,18.64,3.34,0.3,1.06,0.7,0.04,2.29,3.78,0.04,425.4,14.7,7.8,41.2,10,32.8,28.3,5.9,102.1,141.9,24.2,207.2,6.3,44.2,20.8,21.8,18.84,50.58,4.38,15.46,3.62,1.09,0.63,3.3,3.7,0.8,2.62,0.36,2.77,0.52,6.37,1.2,1.7,105.37
2161,57B5/C/B1/2013,76.3826,14.9232,58.05,21.71,5.54,0.59,0.78,0.8,0.06,1.92,3.62,0.07,547,20.9,6.1,53.5,44.6,34.2,17.7,9.2,130.7,163.2,25.6,446.8,12.4,35.2,11.3,55,165.02,285.17,30.2,96.14,13.28,2.38,1.19,9.38,4.94,0.8,2.34,0.37,2.42,0.51,14.75,0.96,7.08,604.76
2162,57B5/C/B2/2013,76.4125,14.8697,57.82,18.84,5.83,0.77,2.7,1.42,0.07,2.09,1.79,0.05,576,16.6,10.1,85.1,27.3,16,32.8,13,76.6,362.3,24.9,370.7,15.5,54,32.7,46.1,111.32,225.61,23.37,79.59,13.31,2.83,1.29,9.45,6.87,1.19,3.23,0.46,2.92,0.45,10.8,1.86,2.36,472.44
2166,57B5/C/C3/2012,76.4571,14.8242,57.84,19.97,5.78,0.85,1.48,1.19,0.07,1.99,2.85,0.09,720.2,20.6,7.1,66.9,24.3,26.5,27.3,12,101.6,314.7,52.7,483.3,26.5,48.7,20.1,50.2,137.87,233.55,29.33,99.49,16.87,3.41,2.1,13.12,11.57,2.18,6.28,1.02,6.36,0.92,12.42,3.05,2.98,550.95
2165,57B5/C/C2/2013,76.4815,14.8735,57.39,18.48,6.18,1.34,1.7,2.33,0.15,2.49,2.92,0.17,1942.8,17.7,6,74,60.3,17.4,26.9,17.4,105.7,754.9,62.6,833.3,32.9,52.6,34,94.3,130.56,241.86,26.76,94.96,15.32,3.67,1.51,10.34,7.76,1.43,3.9,0.64,4.38,0.76,19.64,1.93,4.71,533.51
2163,57B5/C/B3/2013,76.34,14.8016,58.72,19.49,5.49,0.44,1.74,0.87,0.06,1.38,2.95,0.04,499.7,16.2,11.4,69,8.2,25.6,84.9,12,111.1,108.3,32.4,191.2,10.6,128.3,30.6,26.9,23.43,47.41,4.85,17.09,3.4,0.94,0.61,3.37,4.31,1.07,3.06,0.51,3.54,0.56,6.65,1.87,2.12,110.78
2865,57B15/A1/C/14,76.7917,14.4583,58.06,20.05,5.6,0.71,1.75,2.29,0.07,1.36,1.72,0.05,291.5,11.5,9.3,69.9,8.3,15.6,31,12,81.4,172.1,13.8,409.8,2.5,64.5,53,56.1,56.65,102.09,9.24,30.92,4.51,1.32,0.56,3.72,3.05,0.56,1.65,0.26,1.74,0.31,16.62,1,2.13,212.86
2873,57B15/C3/C/14,76.9583,14.2917,66.98,16.93,3.43,0.43,1.02,0.58,0.06,1.25,4.13,0.06,554.3,11.5,7.4,41.7,17.7,25.2,21.4,5.2,164.9,129.6,21.1,597.5,2.5,49.1,18.7,20.8,48.18,91.13,9.61,32.06,6.05,0.83,1.04,5.77,6.43,1.33,4.72,0.8,5.31,0.9,22.65,1.74,0.3,208.39
2870,57B15/B3/C/14,76.875,14.2917,52.27,21.46,7.4,0.78,2.16,2.21,0.07,0.83,1.42,0.07,465.3,16.5,12.7,98.8,8.4,13.5,75.6,15.2,77.9,151.6,24.2,430,2.5,124.2,32.7,48.2,61.34,99.86,12.79,46.11,7.76,1.83,0.98,6.64,5.48,0.96,2.87,0.44,2.64,0.43,20.89,0.99,3.31,243.49
2867,57B15/A3/C/14,76.7917,14.2917,55.2,16.31,8.68,0.82,2.69,3.23,0.15,1.29,1.34,0.15,612.9,19.4,15.1,98.6,23.8,20.3,59,20.2,80.7,128.7,34.9,288,22.2,97.7,71,71.9,91.32,189.64,15.96,56.28,9.66,2.01,1.3,8.29,7.46,1.29,3.88,0.62,3.62,0.58,12.12,10.42,5.92,383.62
2872,57B15/C2/C/14,76.9583,14.375,73.6,12.84,2.3,0.3,1.78,0.58,0.04,2.05,3.22,0.05,790.9,7.3,8.3,32.2,19.2,18.8,13,2.9,90.3,159.4,42.4,893.3,2.5,44.1,8.9,14,91.86,147.66,16.67,60.4,11.49,1.72,2.11,12.27,14.19,2.86,9.19,1.56,9.65,1.59,37.69,0.71,4.56,370.95
2869,57B15/B2/C/14,76.875,14.375,57.9,19.41,5.65,0.68,2.6,2.15,0.07,1.67,1.73,0.13,325.5,14.8,11.9,75,13.1,18.2,35.2,10.8,83.4,183,22.8,503.2,2.5,75.8,46,46.5,54.66,102.78,10.65,36.42,5.97,1.46,0.76,5.16,4.21,0.74,2.09,0.32,2.11,0.36,18.48,0.93,2.16,222.53
2866,57B15/A2/C/14,76.7917,14.375,57.72,18.54,5.91,0.8,3.08,1.87,0.07,1.75,1.6,0.13,333.7,12,10.5,74.3,20.1,13.9,32.2,10.2,86.1,177.8,20.6,479.7,2.5,55.4,29.9,58.9,115.07,171.95,17.12,55.06,7.73,1.6,0.9,5.88,4.81,0.81,2.43,0.38,2.5,0.41,17.29,1.18,2.48,380.77
2871,57B15/C1/C/14,76.9583,14.4583,56.55,13.57,8.42,1.1,3.09,3.51,0.2,1.61,2.32,0.37,630.9,15.7,14,102.7,33.5,13.8,38.2,19.9,133.4,132.3,53.6,570.9,20.4,84.8,39.8,95,175.89,306.39,32.43,112.53,19.54,2.9,2.51,16.24,13.32,2.26,6.5,0.99,6.02,0.93,24.04,3.06,5.35,682.21
2868,57B15/B1/C/14,76.875,14.4583,55.67,16.12,6.19,0.85,5.74,2.79,0.09,1.8,1.71,0.11,382.5,12.7,15.3,104.2,17.5,15.5,43,15.4,78.9,147.5,31.3,307.9,6.9,77.7,39.3,47.1,55.42,122.45,12.32,45.88,9.38,1.97,1.58,9.36,9.76,1.89,5.57,0.91,5.58,0.93,13.83,1.84,3.94,273.64
2742,57A10/3A/C/14,76.516,15.5424,58.08,18.06,5.32,0.72,2.49,1.45,0.07,1.16,1.87,0.07,302,39,13,77,9,22,40,8,98,314,16,252,13,67,32,68,48.05,88.6,9.66,31.78,5.72,1.57,0.61,4.15,3.54,0.59,1.74,0.29,1.64,0.29,8.47,0.92,2.83,194.08
2740,57A10/1A/C/15,76.5232,15.7298,38.2,9.02,10.61,0.93,12.24,5.19,0.12,1.11,0.27,0.08,355,36,16,99,4,8,35,24,19,199,29,138,7,43,30,67,10.74,29.48,3.53,14.92,3.79,1.24,0.82,4.83,6.04,1.23,3.88,0.49,3.66,0.58,4.25,0.47,2,80.4
2741,57A10/2A/C/14,76.5439,15.6307,48.06,17.72,4.92,0.7,7.63,1.18,0.05,0.75,1.64,0.05,260,27,16,72,9,23,47,9,94,226,16,205,11,74,29,59,42.46,66.39,8.72,29.53,5.14,1.28,0.66,4.11,3.57,0.69,1.93,0.28,1.84,0.26,6.33,0.9,2.76,162.75
2744,57A10/2B/C/14,76.5969,15.6567,63.57,16.72,4.37,0.53,0.98,1.37,0.05,0.72,2.95,0.07,314,33,10,57,19,22,33,9,182,101,23,296,15,58,25,54,51.25,86.78,10.71,37.79,6.19,1.19,0.83,4.96,4.39,0.81,2.46,0.35,2.74,0.41,9.79,1.64,6.96,205.9
2745,57A10/3B/C/15,76.6447,15.5396,59.17,16.78,3.99,0.58,4.24,1.06,0.06,1,2.24,0.06,337,41,13,67,13,25,33,8,102,246,16,264,9,71,21,48,21.92,46.58,4.57,16.76,3.15,0.82,0.46,2.9,2.57,0.56,1.71,0.22,1.37,0.28,6.95,0.75,3.36,100.97
2743,57A10/1B/C/15,76.6616,15.7139,61.32,14.38,3.18,0.4,5.37,1.1,0.07,1.85,3.41,0.06,401,30,10,40,28,23,23,3,230,83,27,213,18,32,21,51,44.74,96.96,9.91,36.32,6.74,1.17,0.95,6,5.75,1.06,2.92,0.48,3.58,0.51,10.95,2.25,9.25,211.09
2748,57A10/3C/C/14,76.6698,15.5025,33.57,8.1,2.99,0.61,23.87,1.88,0.06,1.24,0.63,0.07,467,20,20,58,8,24,56,13,41,379,26,143,6,44,16,61,29.97,47.42,6.55,25.46,4.37,0.96,0.61,4.44,3.55,0.7,1.85,0.25,1.53,0.28,4.38,0.6,4.34,123.5
2747,57A10/2C/C/14,76.7176,15.6022,45.94,13.3,27.04,0.44,0.89,1.35,0.1,0.14,0.83,0.13,1748,36,10,50,4,15,53,21,32,38,14,98,7,66,24,53,17.03,35.57,3.98,15.63,2.78,0.73,0.4,2.9,2.67,0.47,1.41,0.23,1.44,0.24,4.95,0.46,3.98,82.58
2746,57A10/1C/C/15,76.7265,15.7304,42.78,12.02,4.36,0.68,16.38,1.88,0.12,2.06,0.61,0.1,827,24,18,97,7,21,39,14,34,478,24,234,8,35,16,67,48.93,99.65,11.7,44.21,7.07,1.97,0.82,5.85,4.54,0.83,1.94,0.33,1.76,0.32,6.42,0.44,6.21,224.07
2413,57E12/09/C/04,77.7228,15.2175,57.57,12.94,9.35,2.63,3.16,1.43,0.17,1.82,1.54,0.79,553.2,24.2,20.8,137.9,33.1,76.4,15.2,14.4,72.5,133.7,49.6,875.7,91.3,23.9,47.5,176.2,160.28,315.2,42.46,160.27,29.98,7.28,3.48,24.92,16.37,3.22,8.07,1.24,7.96,1.12,13.12,6.23,9.6,756.93
2761,57A15/B1/C/14,76.871,15.4845,52.04,13.39,5.43,0.83,8.8,2.54,0.16,0.83,1.19,0.07,504.3,9.3,11.7,93.6,5.2,6.4,42.2,23.1,22.5,128.8,2.5,239.8,14.8,82.4,30.8,12.1,60.69,125.01,10.62,35.44,5.94,1.45,0.67,5,4.59,0.9,2.37,0.28,2.56,0.37,8.33,0.91,2.06,250.89
2762,57A15/B2/C/14,76.8963,15.393,39.61,9.89,7.31,0.65,18.51,1.85,0.07,0.64,0.71,0.09,168.3,8.3,16.7,122.7,5.6,6.4,31.6,18.1,2.5,62,9.9,99.2,11.7,89.7,30.3,14,22.84,50.06,4.87,19.06,3.04,0.82,0.44,3.08,3.06,0.68,1.72,0.27,1.75,0.33,4.9,0.35,0.25,108.94
2763,57A15/B3/C/14,76.9091,15.3232,54.96,19.59,5.04,0.61,1.35,1.11,0.05,0.84,2.65,0.06,290.6,12.2,7.7,67.2,11.5,4.7,26,15.6,72.2,50.8,2.5,437.6,22.8,77.8,12,18.6,64.94,180.48,17.21,58.81,12.55,1.13,1.49,10.73,11.36,2.33,5.68,0.8,6.38,0.93,19.54,1.97,4.63,364.09
2765,57A15/C2/C/14,76.9392,15.3461,59.07,12.05,6.56,0.3,5.27,2.93,0.28,0.21,0.18,0.04,147.1,7.6,7.5,87.4,2,7.3,16.7,11.6,2.5,160.7,2.5,149.8,9.2,81.9,7.5,5,13.9,32.14,3.02,11.34,2.33,0.6,0.32,1.88,1.83,0.34,0.99,0.15,0.83,0.16,3.46,0.37,1.03,67.95
2764,57A15/C1/C/14,76.9593,15.4524,71.56,7.71,1.92,0.47,5.95,1.28,0.05,2.02,0.58,0.05,374,5.4,9.1,38.7,2,8.6,9.5,5.1,2.5,257.3,2.5,507.9,11.8,50.9,7,5,14.73,30.81,3.53,13.32,2.58,0.8,0.4,2.51,2.64,0.44,1.53,0.23,1.52,0.28,14.95,0.51,1.59,72.81
2766,57A15/C3/C/14,76.9894,15.3057,60.06,9.48,8.25,0.56,11.16,0.82,0.05,1.15,0.69,0.08,267.4,5.8,9.8,36.8,4.7,9.6,6.9,14.1,2.5,156,2.5,501,12.9,91.1,11,5,17.71,35.42,3.24,11.69,1.7,0.62,0.31,1.64,1.72,0.36,1.05,0.15,1.22,0.21,15.46,0.4,1.11,75.4
2273,57F11/A8/C/12,77.7083,14.375,47.46,22.11,9.43,0.89,2.02,1.49,0.11,0.96,1.32,0.12,590,28,20,160,15,3,80,22,50,254,22,272,7,225,62,83,118.32,200.78,23.48,83.22,10.56,2.85,1.16,8.71,5.68,0.87,2.28,0.39,2.85,0.42,8.23,0.91,2.13,452.86
2272,57F11/A7/C/12,77.7083,14.4583,51.44,16.8,7.87,1.25,4.39,3.28,0.17,1.96,1.65,0.4,595,27,12,154,18,13,31,20,64,473,34,344,11,55,52,147,196.11,368.08,39.8,148.08,19.71,5.38,1.8,13.74,8.57,1.38,3.56,0.53,3.45,0.59,10.11,1.14,3.5,797.04
2271,57F11/A6/C/12,77.625,14.2917,57.33,17.56,6.09,1.04,2.74,3.01,0.11,2.57,1.73,0.29,236,26,11,109,21,7,16,16,106,420,24,375,12,23,5,146,109.45,172.62,23.51,88.82,12.2,2.8,1.21,8.66,5.71,1.02,3.06,0.56,2.94,0.47,13.09,3,3.71,424.37
2270,57F11/A5/C/12,77.625,14.375,46.26,17.9,10.48,1.53,5.14,4.09,0.14,1.18,0.99,0.35,486,21,20,287,9,15,56,47,25,401,17,133,10,59,132,112,49.31,134.08,12.95,53.94,8.86,2.92,0.98,6.53,4.74,0.81,2.17,0.41,2.32,0.38,4.49,0.72,1.96,273.87
2269,57F11/A4/C/12,77.625,14.4583,42.8,19.89,13.57,1.07,5.28,3.06,0.2,0.77,0.22,0.06,174,20,33,336,7,14,111,46,6,90,18,126,2.5,328,97,64,9.19,17.22,2.63,11.94,2.69,0.85,0.59,3.19,3.54,0.75,2.17,0.35,2.39,0.38,2.98,0.21,0.76,54.69
2274,57F11/A9/C/12,77.7083,14.2917,52.41,17.67,8.69,1.33,2.22,3.08,0.12,1.17,1.58,0.15,634,31,18,160,19,23,25,24,69,307,30,419,29,44,25,188,144.35,254.2,25.86,99.45,12.95,3.42,1.37,9.67,7.42,1.25,3.62,0.64,4.73,0.73,14.59,3.05,5.22,559.99
2401,57E11/002/C/05,77.6339,15.3258,50.79,21.07,7.21,0.75,1.58,0.85,0.07,0.28,2.15,0.05,419.4,22,16.9,132.4,20.7,42.2,80.4,12.7,161.5,114.3,15.7,264.8,16.6,100,38.3,36.1,162.25,217.15,31.86,112.5,18.82,3.19,2.23,15.35,10.52,2.05,5.29,0.83,5.34,0.75,25.35,3.54,11.82,572.78
2403,57E11/004/C/05,77.6339,15.3744,31.74,7.89,1.99,0.32,29.66,1,0.03,1.19,1.97,0.04,271.9,10.2,43.2,34.7,27.4,23,6.9,3.1,104.7,133.2,6.3,169.9,18.2,12.2,6.9,17.1,40.36,75.48,8.34,30.17,5.55,0.85,0.66,4.74,2.85,0.53,1.34,0.2,1.33,0.2,9.1,0.52,4.91,167.86
2405,57E11/006/C/05,77.6556,15.4886,31.51,10.71,3.17,0.43,26.35,1.01,0.04,0.46,1.48,0.05,231.1,11.5,43.2,44.2,16,26.5,17.8,4.1,107,147.6,14.1,262.7,16.8,35.4,13.8,25.8,53.59,96.39,10.89,39.81,6.88,1.45,0.96,6.19,4.91,1,2.65,0.44,2.9,0.4,11.97,0.72,4.27,222.27
2406,57E11/007/C/05,77.6681,15.4444,54.6,17.82,8.12,0.87,1.78,1.53,0.08,0.64,2.43,0.2,413.8,24.2,19.1,126.5,21.3,37.9,40.9,10.6,203.4,111.2,32.8,496.7,44.7,58,26.5,60.9,81.52,157.77,17.19,64.63,11.44,2.03,1.59,10.28,8.6,1.79,4.78,0.84,5.86,0.82,15.9,3.73,4.99,358.86
2402,57E11/003/C/05,77.5308,15.3447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.41,70.01,7.27,26.95,4.75,1.42,0.64,4.24,3.28,0.69,2,0.33,2.23,0.33,8.34,0.86,3.42,155.31
2400,57E11/001/C/05,77.5433,15.3181,56.59,17.72,6.31,0.89,1.07,2.1,0.04,1.13,2,0.09,455.5,25.6,8.4,96.5,73.4,24.8,48.1,7.3,92.9,101.8,37.3,674.5,41.7,56.3,12,23.9,82.77,172.9,16.46,61.23,9.58,2.84,0.95,7.44,4.32,0.82,2.12,0.33,2.17,0.32,13.73,0.1,1.86,356.81
2404,57E11/005/C/05,77.5542,15.4353,68.54,12.72,3.06,0.42,2.52,1.03,0.04,1.39,3.26,0.03,426.7,12.9,9.3,57.5,19.7,28.1,24,4,158.9,225,14.5,300.8,15.3,40.4,15.2,27.2,24.29,49.5,5.35,20.39,4.14,1.1,0.57,3.69,2.97,0.62,1.78,0.3,2.07,0.33,9.33,1.39,3.38,113.41
2198,57F3/C5/SS/13,77.137,14.399,56.97,18.69,6.12,0.74,2.07,1.55,0.07,1.69,2.3,0.09,691.9,18.2,11,96.4,18.8,20.9,50.4,14,81.2,306.9,23.7,665.9,9,77.2,33.9,37.3,73.89,124.56,12.89,45.47,7.58,1.49,0.92,6.23,5.51,1.05,3.18,0.48,3.25,0.51,22.99,0.76,4,280.78
2154,57B4/6/C/11,76.2127,14.1339,58.54,19.78,9.69,0.73,0.06,0.25,0.05,0.56,0.28,0.03,88,22,12,170,8,32,97,13,10,84,30,266,10,141,56,138,14.8,49,4.41,19.5,4.6,1.9,5,0.8,4.79,1.1,2.9,0.5,3.2,0,6.8,0.67,9.4,111.7
2758,57A15/A1/C/14,76.8209,15.444,69.68,13.73,3.23,0.5,0.85,1.11,0.05,1.36,2.9,0.06,276.9,10.8,6.1,38,7.4,1,11.1,8.7,62.8,65.7,2.5,533.5,16.4,58.3,18.4,9.7,31.98,104.08,6.34,21.76,3.84,0.73,0.62,3.84,3.74,0.67,2.48,0.39,2.55,0.46,12.46,0.96,2.31,179.64
2759,57A15/A2/C/14,76.8265,15.3664,56.8,12.35,2.45,0.4,12.84,1.24,0.04,0.96,2.56,0.07,288.4,7.3,12.8,32.4,11.1,5.2,12.5,6.2,56.7,83,16.6,246.6,14.4,53.8,6.8,12.2,14.76,44.69,3.66,13.69,3.51,0.31,0.46,3.56,4.92,0.59,3.13,0.33,2.4,0.49,8.85,1.07,2.91,92.94
2896,57A/7/A3/C/13,76.2917,15.2917,21.42,6.83,3.74,0.41,33.1,2.26,0.07,0.78,0.2,0.05,138,2.5,36.7,52,2,7.1,4.5,9.7,19.1,223.6,25.4,8.4,2.5,20.1,29.2,5,15.57,17.97,3.62,14.19,2.85,0.73,0.55,3.36,3.59,0.68,2.09,0.37,1.99,0.31,2.5,0.09,3.95,64.51
2754,57A11/B3/C/14,76.625,15.2917,33.47,9.35,2.17,0.54,25.55,2.24,0.05,2.34,0.45,0.07,294,11,15,55,4.8,6.3,12,8,2.5,224,64,181,12,42,14,10,33.89,61.15,7.46,29.13,5.02,1.29,0.82,5.22,4.07,0.76,2.41,0.27,2.09,0.29,10.02,0.74,3.63,148.65
2753,57A11/B2/C/14,76.625,15.375,52.26,12.72,5.97,0.87,7.06,2.35,0.18,0.85,0.54,0.06,346,5.2,12,116,7.7,8.6,59,32,11,154,2.5,209,13,105,31,5,32.99,86.98,7.95,27.08,5.08,1.15,0.85,4.91,4.33,0.9,2.76,0.45,2.53,0.43,6.88,1.15,5.4,173.48
2752,57A11/B1/C/14,76.625,15.4583,49.31,16.73,3.81,0.6,10.5,1.44,0.07,3.1,1.99,0.08,760,13,9,48,6.2,7.9,10,11,17,309,2.5,236,12,53,1.5,40,60.99,128.75,13.31,48.45,7.65,1.81,0.69,5.88,4.07,0.81,2.07,0.24,1.71,0.2,9.76,0.63,4.12,270.75
2757,57A11/C3/C/14,76.7083,15.2917,41.44,12.46,4.6,0.66,17.56,2.05,0.07,1.9,0.42,0.08,319,7.4,15,97,8.2,6.4,26,13,2.5,205,22,144,13,61,27,15,26.23,45.89,6.45,22.99,4.6,1.33,0.64,4.18,3.17,0.65,2.16,0.26,1.74,0.22,4.32,0.51,2.93,116.33
2756,57A11/C2/C/14,76.7083,15.375,56.55,17.44,6.61,0.8,3.46,2.24,0.15,3.12,1.31,0.19,922,13,10,156,4.7,8.9,14,20,2.5,250,2.5,273,14,73,5.9,47,64.06,134.94,13.28,47.96,8.57,2.22,0.85,6.49,3.93,0.58,1.78,0.21,1.86,0.25,9.45,0.75,5.81,280.49
